,Nome do Buteco,Endereço,Latitude,Longitude,Unnamed: 4,Logradouro,Número,chave_endereco_buteco,match_endereco,Match,match_termo_manual,Comida de Boteco
48,Cantina Arte Quintal,"Rua Realengo, 150 | Caiçara, Belo Horizonte - MG",-19.9014096,-43.9756523,,REALENGO,150,REALENGO_150,True,1,,1
49,Cantinho da Baiana,"Avenida Itaité, 422 | São Geraldo, Belo Horizonte - MG",-19.8972077,-43.8960229,,ITAITE,422,ITAITE_422,True,1,,1
50,Casa da Madrinha,"Avenida Barbacena, 212 | Barro Preto, Belo Horizonte - MG",-19.9240497,-43.9531932,,BARBACENA,212,BARBACENA_212,True,1,,1
51,Cervejaria Pajé,"Avenida Capim Branco, 419 | Vista Alegre, Belo Horizonte - MG",-19.9547924,-43.9976058,,CAPIM BRANCO,419,CAPIM BRANCO_419,True,1,,1
52,Chapa Mágica,"Avenida Waldomiro Lobo, 305 | Guarani, Belo Horizonte - MG",-19.8441193,-43.9242894,,WALDOMIRO LOBO,305,WALDOMIRO LOBO_305,True,1,,1
53,Choperia América Norte Sul,"Rua Chico Rei, 190 | Estrela do Oriente, Belo Horizonte - MG",-19.9615872,-43.9847596,,CHICO REI,190,CHICO REI_190,True,1,True,1
54,Chopp da Esquina,"Rua Garret, 263 | Nova Granada, Belo Horizonte - MG",-19.9432796,-43.9684262,,GARRET,263,GARRET_263,True,1,,1
55,Companhia do Dino,"Avenida Joaquim Clemente, 682 | Floramar, Belo Horizonte - MG",-19.8396478,-43.9332774,,JOAQUIM CLEMENTE,682,JOAQUIM CLEMENTE_682,False,0,False,0
56,Conectados Bar,"Avenida Francisco Sá, 280 | Prado, Belo Horizonte - MG",-19.924344,-43.9592689,,FRANCISCO SA,280,FRANCISCO SA_280,False,0,False,0
57,COSMOS,"Rua Vicente Risola, 1305 - Santa Ines, Belo Horizonte - MG, 31080-160",-19.8899984,-43.9086241,,VICENTE RISOLA,1305,VICENTE RISOLA_1305,True,1,,1
58,Deck Boi na Brasa,"Rua Desembargador José Satyro, 302 | Castelo, Belo Horizonte - MG",-19.8886426,-43.9960496,,DESEMBARGADOR JOSE SATYRO,302,DESEMBARGADOR JOSE SATYRO_302,False,0,False,1
59,Dona Dora,"Rua Rio de Janeiro, 1205 | Centro, Belo Horizonte - MG",-19.925814,-43.9404836,,RIO DE JANEIRO,1205,RIO DE JANEIRO_1205,True,1,,1
60,Dona Ju Gastro Bar,"Estrada dos Borges, 1520 | Jardim Vitória, Belo Horizonte - MG",Não encontrado,Não encontrado,,DOS BORGES,1520,DOS BORGES_1520,True,1,,1
61,Dona Suica,"Rua João Samaha, 390 | São João Batista (Venda Nova), Belo Horizonte - MG",-19.8240134,-43.962794,,JOAO SAMAHA,390,JOAO SAMAHA_390,True,1,,1
62,Ember BBQ,"Rua São Romão, 460 | São Pedro, Belo Horizonte - MG",-19.9450728,-43.9402223,,SAO ROMAO,460,SAO ROMAO_460,True,1,,1
63,Espetinho do Boi,"Rua São Paulo da Cruz, 357 | Barreiro, Belo Horizonte - MG",-19.9810622,-44.0133834,,SAO PAULO DA CRUZ,357,SAO PAULO DA CRUZ_357,True,1,,1
64,Espetinhos do Paulão,"Rua Álvaro Mata, 466 | Belo Horizonte - MG",-19.8860185,-43.9578799,,ALVARO MATA,466,ALVARO MATA_466,False,0,False,1
65,Espettinho.com,"Rua Eli Seabra Filho, 510 | Buritis, Belo Horizonte - MG",-19.9756214,-43.9751097,,ELI SEABRA FILHO,510,ELI SEABRA FILHO_510,True,1,,1
66,Fogão de Minas,"Avenida Doutor Cristiano Guimarães, 1911 | Planalto, Belo Horizonte - MG",-19.8221025,-43.9525014,,DOUTOR CRISTIANO GUIMARAES,1911,DOUTOR CRISTIANO GUIMARAES_1911,True,1,,1
67,Garagge Vintage,"Avenida Doutor Cristiano Guimarães, 1258 | Planalto, Belo Horizonte - MG",-19.8315762,-43.9547337,,DOUTOR CRISTIANO GUIMARAES,1258,DOUTOR CRISTIANO GUIMARAES_1258,True,1,,1
68,Geraldin da Cida,"Rua Contria, 1459 | Grajaú, Belo Horizonte - MG",-19.936342,-43.968268,,CONTRIA,1459,CONTRIA_1459,True,1,,1
69,Golden Grill,"Rua Amílcar Cabral, 515 | Milionários, Belo Horizonte - MG",-19.9837734,-44.0036387,,AMILCAR CABRAL,515,AMILCAR CABRAL_515,True,1,,1
70,Iracema Bar,"Rua Almandina, 56 | Belo Horizonte - MG",-19.9182962,-43.9246508,,ALMANDINA,56,ALMANDINA_56,True,1,,1
71,Ivo Grill,"Rua Professor Tristão da Cunha, 183 | Belo Horizonte - MG",-19.838757,-43.9464948,,PROFESSOR TRISTAO DA CUNHA,183,PROFESSOR TRISTAO DA CUNHA_183,True,1,,1
72,Já To Inno,"Rua Benjamim Dias, 379 | Belo Horizonte - MG",-20.381055,-43.5107743,,BENJAMIM DIAS,379,BENJAMIM DIAS_379,True,1,,1
73,Juzé Bar,"Rua Carlos Sá, 180 | Jardim Atlântico, Belo Horizonte - MG",-19.8414871,-43.9890445,,CARLOS SA,180,CARLOS SA_180,True,1,,1
74,Köbes Emporium Bar,"Rua Professor Raimundo Nonato, 31 | Santa Tereza, Belo Horizonte - MG",-19.9104906,-43.9160165,,PROFESSOR RAIMUNDO NONATO,31,PROFESSOR RAIMUNDO NONATO_31,True,1,True,1
75,Koqueiros Bar,"Avenida Silviano Brandão, 1293 | Sagrada Família, Belo Horizonte - MG",-19.9109127,-43.9260469,,SILVIANO BRANDAO,1293,SILVIANO BRANDAO_1293,True,1,,1
76,Lá Ele Bar,"Av. General Carlos Guedes, 165 | Planalto, Belo Horizonte - MG",-19.8373712,-43.9480678,,. GENERAL CARLOS GUEDES,165,. GENERAL CARLOS GUEDES_165,True,1,True,1
77,Leo da Quadra,"Rua Oliveira Lisboa, 107 | Barreiro, Belo Horizonte - MG",-19.9761639,-44.0131047,,OLIVEIRA LISBOA,107,OLIVEIRA LISBOA_107,True,1,,1
78,Locomotiva’s Bar,"Rua Carmésia, 568 | Santa Inês, Belo Horizonte - MG",-19.8815093,-43.9090525,,CARMESIA,568,CARMESIA_568,True,1,,1
79,Magnífico Quintal,"Rua Jefferson de Oliveira, 56 | Santa Amélia, Belo Horizonte - MG",-19.8421348,-43.9759104,,JEFFERSON DE OLIVEIRA,56,JEFFERSON DE OLIVEIRA_56,True,1,True,1
